lat,lon,infra_type,infra_subtype,name,osm_id
8.7946391,78.1602869,industrial_zone,port,Thoothukudi Fishing Harbour,relation/11278578
28.3025999,73.3061913,power_plant,solar,ReNew Power Bikaner,relation/11543797
13.159392,80.2780044,industrial_zone,,,relation/11546783
12.724068,80.0083851,industrial_zone,,BMW India Pv Ltd,relation/11547741
28.2169717,76.850504,industrial_zone,,,relation/11645093
28.1472405,76.8847838,industrial_zone,,,relation/11645094
27.9903236,73.0343883,power_plant,solar,Gajner Solar Park,relation/11858530
21.0506075,74.298752,power_plant,solar,Sakri,relation/11896143
17.5303634,78.3978568,industrial_zone,,ALEAP Industrial Area,relation/11901694
14.0136125,78.4249324,power_plant,solar,Ananthapuramu Ultra Mega Solar Park,relation/11902087
14.0717545,78.4583487,power_plant,solar,Galiveedu Solar Park,relation/11902933
21.1182292,79.0767896,industrial_zone,,Food Corporation Of India,relation/11965476
29.917502,77.7521995,power_plant,solar,Project Haridwar 3,relation/12233008
10.0011935,76.4538556,industrial_zone,,,relation/12311649
9.9988279,76.4565461,industrial_zone,,,relation/12312204
11.1515058,75.8898841,industrial_zone,,,relation/12312307
21.4526605,72.9229279,industrial_zone,,,relation/12352989
20.9023105,70.3751769,industrial_zone,port,Veraval Port,relation/12361369
29.0457477,77.070846,industrial_zone,,,relation/12471119
18.4070847,79.1652482,industrial_zone,,,relation/12667715
17.5774143,80.6693609,power_plant,industrial,Paloncha Power Plant,relation/12856014
22.3217947,82.7320397,industrial_zone,mine,,relation/13051598
23.6092919,87.1501544,industrial_zone,,,relation/13105415
26.504426,81.5519728,industrial_zone,,,relation/13114753
22.2144646,84.8726199,industrial_zone,,Rourkela Steel Plant,relation/13134317
8.8212509,77.604222,power_plant,solar,,relation/13269483
22.0708387,85.2701594,industrial_zone,mine,,relation/13333457
13.0492591,77.5328904,industrial_zone,,HMT Watch Factory,relation/13341560
18.3011709,78.8894427,power_plant,solar,Sircilla Acme,relation/13408343
12.6956854,77.104096,power_plant,solar,Avverahalli,relation/13409489
14.1411247,76.681652,power_plant,solar,Gollahaḷḷi,relation/13409491
17.5552623,74.3520898,power_plant,solar,,relation/13440945
19.2632538,82.7330357,power_plant,solar,,relation/13441175
12.2281434,76.9901503,power_plant,solar,,relation/13442864
15.7877418,75.7551405,power_plant,solar,,relation/13443064
28.3157786,73.4458733,power_plant,solar,Azur Power Bikaner,relation/13449274
24.5968702,84.6872695,power_plant,solar,Sawkala Solar Plant,relation/13485783
19.1505199,73.0864295,power_plant,solar,,relation/13529487
8.9124762,77.8236039,power_plant,solar,,relation/13533021
12.3635575,76.6240657,industrial_zone,,,relation/13533869
9.3278345,78.9227649,power_plant,gas,Arkay Valantharvi Power Plant,relation/13555371
16.1795298,76.7640884,power_plant,solar,,relation/13583133
17.3011408,73.2057909,industrial_zone,port,Jaigarh Port,relation/13654908
12.7786423,80.017292,industrial_zone,,Ford Factory,relation/13749789
25.3952662,86.0251682,power_plant,coal,Barauni Thermal Power Station,relation/13875985
24.218886,72.3014438,industrial_zone,,,relation/13934912
22.7314018,86.1740595,industrial_zone,mine,,relation/13948778
24.1945578,72.0075466,industrial_zone,,,relation/14017832
24.7228403,87.7684235,industrial_zone,mine,,relation/14195662
28.2016801,77.329376,industrial_zone,,,relation/14263822
16.9701367,82.276644,industrial_zone,port,Kakinada Port,relation/14279766
12.9437942,77.6049088,industrial_zone,,Bosch Spark.NXT,relation/14311757
27.1868935,95.3738344,power_plant,industrial,Namrup Power Station,relation/14329448
28.5282748,77.5377988,industrial_zone,,CONCOR,relation/14386705
28.5354118,77.5310942,industrial_zone,,,relation/14387900
24.191539,82.808532,power_plant,industrial,Anpara Power Plant,relation/14450073
13.0478249,77.5611623,industrial_zone,,Bharat Electronics Limited,relation/14592079
17.6366232,83.2225921,industrial_zone,port,Gangavaram port,relation/14718755
17.7019455,83.2816471,industrial_zone,port,,relation/14721813
17.6917557,83.2899626,industrial_zone,port,,relation/14724955
17.6933748,83.3011421,industrial_zone,port,Visakha Container Terminal,relation/14724956
21.86556,88.1737831,industrial_zone,,,relation/14753711
8.5271564,76.8759486,industrial_zone,research,Vikram Sarabhai Space Centre - VSSC,relation/15096761
17.0336657,78.1834098,industrial_zone,,CalVal Facility,relation/15332537
9.6946608,76.644927,industrial_zone,,Indiar Rubber Factory,relation/15434401
28.237531,73.2450906,power_plant,solar,Avaada Bikaner,relation/15460921
12.7993036,77.670679,industrial_zone,,Bommasandra Industrial Estate,relation/15546654
13.5071064,77.0384556,industrial_zone,,Vasantha Narasapura Industrial Area,relation/15628119
15.7472416,73.6556657,industrial_zone,port,Redi Port,relation/15661798
25.9997462,73.0050036,industrial_zone,,,relation/15662573
23.3589816,70.0749957,power_plant,solar,Adani,relation/15715623
8.1215356,77.3578756,industrial_zone,,Rajiv Gandhi Center for Aquaculture,relation/15768208
20.9260135,71.4973168,industrial_zone,,,relation/15791202
22.7433034,69.709459,industrial_zone,port,Mundra International Container Terminal,relation/15791329
22.7892096,69.6871644,industrial_zone,,,relation/15791330
22.7980418,69.6984758,industrial_zone,,,relation/15791331
22.7406025,69.6990201,industrial_zone,port,Container Terminal 3,relation/15791332
22.7406224,69.6886171,industrial_zone,port,Container Terminal 4,relation/15791333
22.786892,69.7071483,industrial_zone,,,relation/15791766
22.7613581,69.5614168,industrial_zone,,West Port,relation/15793672
23.0152856,75.6786427,industrial_zone,,,relation/15794416
12.9610894,79.309787,industrial_zone,,SIPCOT Industrial Complex,relation/15818225
26.7267021,84.2306703,industrial_zone,sugar_refinery,The United Provinces Sugar Company Limited,relation/15834488
11.0272292,77.0853036,industrial_zone,oil_storage,Bharat Petroleum Depot,relation/15909996
11.3456736,77.7584646,industrial_zone,,,relation/15910275
11.6781862,78.1099063,industrial_zone,warehouse,,relation/15966918
8.4345843,78.0644918,power_plant,coal,,relation/15986380
15.1732572,76.3839503,power_plant,coal,Danapuram BMM Captive Power Plants,relation/16053036
22.3989442,82.7429171,power_plant,coal,Balco-III Power Station,relation/16214720
22.3959082,82.7429171,power_plant,coal,BALCO Korba Power Stations,relation/16214721
24.4858533,84.8387309,power_plant,solar,,relation/16397366
14.0632617,76.9195247,power_plant,solar,,relation/16602828
11.0142849,78.4041401,power_plant,solar,,relation/16671241
13.3747972,77.5963225,power_plant,solar,,relation/16707608
16.9650779,77.6490379,power_plant,solar,,relation/16736217
18.3054198,76.6554093,power_plant,solar,,relation/16736410
27.3230822,71.9929962,power_plant,solar,Khetusar,relation/16738705
21.4392299,72.2230714,industrial_zone,,,relation/17046909
21.421548,72.2083046,industrial_zone,,Alang-Sosiya Shipbreaking Yard,relation/17046910
21.4326456,72.217427,industrial_zone,,,relation/17046911
23.1049896,80.2174863,industrial_zone,,Jabalpur Indane Bottling Plant IOCL,relation/17087339
23.1130196,80.2182788,industrial_zone,,Jabalpur Indane Bottling Plant IOCL,relation/17087389
24.2052009,82.79754,power_plant,coal,Anpara-C Power Plant,relation/17236628
24.2000135,82.7941371,power_plant,coal,Anpara Thermal Power Station,relation/17236629
22.9794596,80.4370061,industrial_zone,manufacturing,,relation/17261403
17.0066309,73.337258,industrial_zone,,Industrial Estate,relation/17308154
24.4727531,81.5768894,power_plant,solar,Rewa Ultra Mega Solar,relation/17341137
22.7625555,70.687336,power_plant,solar,,relation/17351913
12.9443674,79.14529,power_plant,solar,,relation/17351931
29.3593763,73.5261259,power_plant,solar,Jetsar Soalr Park,relation/17354528
23.3882581,69.3128344,power_plant,solar,,relation/17356485
22.1383359,70.2389268,power_plant,solar,,relation/17357933
22.7244563,70.5507741,power_plant,solar,,relation/17357969
22.7819731,70.5005816,power_plant,solar,,relation/17357971
25.5314244,77.6217219,power_plant,solar,,relation/17359633
16.1324602,76.9326796,power_plant,solar,,relation/17362207
15.8063182,76.4462874,power_plant,solar,,relation/17362523
18.1896145,77.4636769,power_plant,solar,,relation/17365656
17.9797917,77.4326464,power_plant,solar,,relation/17365888
17.9187505,77.3728064,power_plant,solar,,relation/17365917
15.5749144,76.0176032,power_plant,solar,,relation/17366492
15.6519255,75.9852473,power_plant,solar,,relation/17366493
15.9930071,76.9314026,power_plant,solar,,relation/17366590
15.558822,76.036379,power_plant,solar,,relation/17366591
14.7559251,76.5280379,power_plant,solar,,relation/17366827
13.4960759,76.8868612,power_plant,solar,,relation/17367330
13.4982899,76.881381,power_plant,solar,,relation/17367331
12.7470083,76.2004551,power_plant,solar,,relation/17367382
12.7561721,76.201057,power_plant,solar,,relation/17367383
13.4874697,77.9020905,power_plant,solar,,relation/17431425
15.0406699,76.7057755,power_plant,solar,Jindal Vijayanagara Solar Plant,relation/17432765
22.6121847,70.4664197,power_plant,solar,,relation/17452232
28.1265553,73.1240767,power_plant,solar,,relation/17485142
13.0262787,77.5150898,industrial_zone,,Peenya Industrial Area,relation/17570284
27.1509861,84.3317458,industrial_zone,,,relation/17642524
13.1547429,80.1995102,industrial_zone,,,relation/17667792
9.9927594,76.2323565,industrial_zone,trucking,,relation/17667939
21.1610531,79.655689,industrial_zone,depot,Bhandara MSRTC Bus Station,relation/17683174
13.2141234,77.6943272,industrial_zone,,Bengaluru Signature Business Park,relation/17770374
18.9974316,73.032724,industrial_zone,,,relation/17860883
11.0033168,76.9615442,industrial_zone,,,relation/17947416
12.9789977,79.2638238,industrial_zone,brickyard,,relation/17969619
12.975795,79.2589166,industrial_zone,brickyard,,relation/17969621
12.9626542,79.2622123,industrial_zone,brickyard,,relation/17969622
12.9687453,79.2623713,industrial_zone,brickyard,,relation/17969623
12.9646505,79.2521332,industrial_zone,brickyard,,relation/17969624
12.9699349,79.2637443,industrial_zone,brickyard,,relation/17969626
8.0974582,77.5628626,industrial_zone,port,Chinna Muttom Harbour,relation/18250434
12.9173748,79.3399517,industrial_zone,,,relation/18258746
12.9846738,79.2834835,industrial_zone,factory,BHEL - Ranipet,relation/18373976
26.642505,88.3969099,industrial_zone,,Laldas Commercial Park,relation/18621676
17.9049052,77.4617285,industrial_zone,,Kolhar Industrial Area,relation/18699828
12.9298195,74.8167638,industrial_zone,port,New Mangalore Port,relation/18821078
13.0629424,77.4435416,industrial_zone,,,relation/18860729
15.199185,76.7222593,power_plant,coal,KPCL Bellary Thermal Power Plant,relation/19280842
13.1656787,80.2960938,industrial_zone,,Madras Sheet Glass Works,relation/19297532
17.7644234,75.8186056,industrial_zone,biotech,Sachin Biotech,relation/19639179
17.7649536,75.8181862,industrial_zone,sand,Shilpa Sand,relation/19639180
17.7308503,75.7843361,industrial_zone,oil_storage,BPCL Depot Solapur,relation/19646216
27.1844861,88.5012996,industrial_zone,,,relation/19682152
12.7798759,77.7471901,industrial_zone,,Lake Chemicals P Ltd,relation/19756706
13.3481531,74.6977167,industrial_zone,,Udupi Cochin Shipyards ltd.,relation/19994784
15.5188749,73.9958796,industrial_zone,,Vedanta Pig Iron Plant,relation/20000618
17.869246,80.8411874,industrial_zone,,,relation/20035127
17.8410068,80.8586833,industrial_zone,,,relation/20035447
30.8788385,76.3443764,industrial_zone,brickyard,,relation/20054210
15.8855228,80.6409301,industrial_zone,,,relation/20163672
20.6361692,79.962002,industrial_zone,,,relation/20363110
28.0533495,73.2906206,industrial_zone,,,relation/20370454
12.9882492,76.1311823,industrial_zone,,Hassan Industrial Area,relation/20678204
16.2703627,81.0094361,industrial_zone,,,relation/20978466
16.3608017,80.85798,industrial_zone,,KCP Sugar Factory,relation/20989217
19.4322127,74.612771,industrial_zone,,Rahuri MIDC,relation/21018932
17.6613526,78.61242,industrial_zone,biotechnology_and_pharmaceutical,Genome Valley,relation/21227456
11.6396071,79.772791,industrial_zone,port,Cuddalore Marine Terminal,relation/21297329
12.9584736,79.8142884,industrial_zone,,Upcoming Semiconductor Park,relation/21361371
13.0530913,80.2401556,industrial_zone,,,way/23186326
12.9429222,80.1214177,industrial_zone,,Madras Export Processing Zone MEPZ,way/23648236
12.870285,77.6629513,industrial_zone,,Bosch NhP,way/24580022
16.6941774,74.460761,industrial_zone,,television broadcasting,way/25403339
12.997417,80.0112007,industrial_zone,,SIPCOT Irungattukottai,way/25670561
12.8664671,74.8532443,industrial_zone,,Highland coffee works,way/26325795
11.4338966,76.6675194,industrial_zone,,Hindustan Photo Films,way/26546597
25.2793212,83.1399984,industrial_zone,,,way/26632313
25.2798455,83.106209,industrial_zone,,,way/26643216
25.2867961,83.0690542,industrial_zone,,,way/26662521
25.2992397,83.0732446,industrial_zone,,,way/26674958
25.243245,83.0652129,industrial_zone,,Ramnagar industrial area,way/26685581
25.2908218,82.9592353,industrial_zone,factory,Banaras Loco Works - DLW Varanasi,way/26692964
25.2989397,82.9961642,industrial_zone,,,way/26732765
25.3603631,82.9413623,industrial_zone,,,way/26781005
25.3588778,82.9473662,industrial_zone,,,way/26781017
28.4698736,77.0530328,industrial_zone,,,way/27035476
13.0459866,80.1952359,industrial_zone,,KK Nagar Container Freight Station,way/27347413
13.0503887,80.2066617,industrial_zone,,Vadapalani MTC Depot,way/27347551
13.0463704,80.2049566,industrial_zone,,AVM Studio,way/27434308
13.0817596,80.265279,industrial_zone,,Central Medical Depot,way/27768970
13.0951554,80.1981042,industrial_zone,,Anna Nagar West MTC Depot,way/27877926
13.0067179,80.2532777,industrial_zone,,Adyar Bus Depot,way/27954946
13.0146892,80.2256551,industrial_zone,,Saidapet MTC Depot,way/28067383
28.588873,77.3216761,industrial_zone,,Sector 5,way/28208819
12.3619918,76.6413694,industrial_zone,,Bharatiya Reserve Bank Note Mudran Private Limited - BRBNMPL,way/28240143
28.5835275,77.3230302,industrial_zone,,Sector 4,way/28240487
30.1134738,77.2409285,industrial_zone,,Steel auto industries,way/28291496
13.0749577,80.2517294,industrial_zone,,Corporation Asphalt Plant,way/28295518
13.0746939,80.2496,industrial_zone,,"FCI FSD, Egmore",way/28295519
12.9684486,80.1738452,industrial_zone,mine,,way/28309779
13.1015361,80.2491261,industrial_zone,,Perambur MTC Depot,way/28342600
13.0981662,80.2697294,power_plant,oil,Basin Bridge Gas Turbine Power Station,way/28342737
13.1054074,80.2250691,industrial_zone,,Integral Coach Factory Carriage Works - ICF Chennai,way/28347365
13.098065,80.207667,industrial_zone,factory,Integral Coach Factory,way/28348128
13.0870899,80.2164219,industrial_zone,warehouse,Tamilnadu Civil Supplies Corporation - Anna Nagar 1 & 2 Godown,way/28350371
25.4197795,82.8736322,industrial_zone,,Babat Pur Gas Plant,way/28353855
30.1054227,77.3264173,power_plant,coal,Deenbandhu Chhotu Ram Thermal Power Station,way/28396309
11.4052614,76.6802037,industrial_zone,,Electricity Board,way/28485455
25.2715587,82.8321811,industrial_zone,,,way/28731276
25.2719867,82.8408402,industrial_zone,,,way/28732569
25.4823675,81.9741073,industrial_zone,,,way/28766936
25.497754,82.00186,industrial_zone,,,way/28767494
25.4974753,82.0033106,industrial_zone,,,way/28767497
25.4978975,82.0054761,industrial_zone,,,way/28767512
25.4341056,81.9158853,industrial_zone,,,way/28768302
25.424093,81.9315285,industrial_zone,,Indian Oil LPG Plant,way/28769957
22.2512632,73.1876496,industrial_zone,,,way/28928033
22.2655401,73.2164843,industrial_zone,,,way/28938457
22.5314648,72.9230563,industrial_zone,,,way/28947573
22.5417671,72.9371011,industrial_zone,,,way/28964678
22.5430261,72.9476717,industrial_zone,,,way/28964747
11.4108086,76.6887095,industrial_zone,,Sugar Daddy Bakery,way/29024321
22.4631937,73.2394201,industrial_zone,,Nirma Lab Plant,way/29037171
22.3793084,73.118723,industrial_zone,refinery,Gujarat Refinery,way/29107962
22.3959396,73.1170064,industrial_zone,chemical,,way/29108062
13.0700186,80.2652801,industrial_zone,,Corporation of Chennai - Pudupet Depot,way/29115918
22.395781,73.1988956,industrial_zone,,,way/29134868
13.1517928,80.2724237,industrial_zone,,Manali Petro Chemicals,way/29200131
13.1420862,80.2807303,industrial_zone,,Indian Oil Corporation,way/29200185
13.147266,80.2870023,industrial_zone,,Container Corporation of India - CONCOR,way/29200202
13.1258258,80.2826793,industrial_zone,,Bharath Petroleum,way/29200357
13.122892,80.2812854,industrial_zone,,Hindustan Petroleum,way/29200367
13.122177,80.2781299,industrial_zone,,Indian Oil,way/29200386
13.1699051,80.309006,industrial_zone,,Carborundum Universal,way/29200536
13.1722396,80.3045558,industrial_zone,,Thiruvottiyur MTC Depot,way/29200545
13.184626,80.2997079,industrial_zone,,,way/29200667
13.1601565,80.2938837,industrial_zone,,,way/29200671
13.1562405,80.3047977,industrial_zone,,,way/29200915
13.164013,80.3080916,industrial_zone,,STP Container Terminal,way/29200955
13.1646984,80.3063941,industrial_zone,,,way/29200958
13.1666483,80.3071002,industrial_zone,,Ananda Industries,way/29200963
13.1802113,80.3113399,industrial_zone,,,way/29201616
13.15403,80.3015975,industrial_zone,,,way/29201694
13.176676,80.3094279,industrial_zone,,MRF Tyres,way/29201863
13.1746246,80.3088427,industrial_zone,,,way/29201864
13.1829182,80.305251,industrial_zone,,ITC Packaging,way/29201865
13.2119328,80.3217157,industrial_zone,,Ennore Foundries,way/29202121
13.2126907,80.3193326,industrial_zone,,Ennore Foundries,way/29202122
13.2159452,80.3239761,industrial_zone,,EID Parry Fertilizers,way/29202225
13.2151278,80.320893,industrial_zone,,Ennore MTC Depot,way/29202311
13.1717143,80.267823,industrial_zone,,Manali Fertilizers Limited - MFL,way/29245914
13.1700147,80.2571715,industrial_zone,,,way/29246211
13.1315179,80.2358382,industrial_zone,,Madhavaram MTC Depot,way/29246499
22.8233134,72.60051,industrial_zone,,,way/29327399
23.071342,72.5933046,power_plant,coal,AMGEN,way/29492754
22.3671845,73.1480804,industrial_zone,,Indu Nissan Oxo Chemical Industries Ltd.,way/29547279
22.3730497,73.1523505,industrial_zone,,Gujarat State Fertilizers & Chemicals Ltd.,way/29547338
22.3325483,73.1645903,industrial_zone,,,way/29917233
13.1210649,80.1020956,industrial_zone,,Avadi MTC Depot,way/30078054
13.1995006,80.3094811,power_plant,coal,Ennore Thermal Power Station,way/30738573
12.9479658,80.1427747,industrial_zone,,MTC Workshop - Chrompet,way/30749076
12.9389845,80.1368648,industrial_zone,,FCI Warehouse - Chrompet,way/30750568
19.1536887,73.2411009,industrial_zone,,Badlapur MIDC,way/30799383
13.1865414,80.2413602,industrial_zone,,,way/30799480
13.0557869,80.2056092,industrial_zone,,Prasad Color Labs,way/30889997
13.0987302,80.2406601,industrial_zone,,Ayanavaram MTC Depot,way/30973298
13.1240012,80.0732546,industrial_zone,,Food Corporation of India - FCI Avadi,way/31004472
13.2334306,80.2801366,industrial_zone,,Ashok Leyland Vehicle Test Centre,way/31011639
13.2461259,80.2794757,industrial_zone,,SICAL Container Freight Station,way/31012197
13.2449646,80.2756047,industrial_zone,,Bay Container Storage Yard,way/31012200
19.2081039,73.1904626,industrial_zone,,DMC Mills,way/31015053
19.2039743,73.1958227,industrial_zone,,ITC Manufacturing Plant,way/31015063
13.0903615,79.9932355,industrial_zone,,Spartek Granites,way/31252824
13.1058438,79.9611949,industrial_zone,,Balaji Brewery,way/31253716
12.9447443,80.13686,industrial_zone,,Indira cotton mills,way/31255897
13.1163523,80.1220285,industrial_zone,,Avadi Carshed,way/31256393
13.1208119,80.1142883,industrial_zone,,Tube Products of India,way/31256674
13.1392008,80.128828,industrial_zone,communication,All India Radio Station,way/31257284
12.5026914,80.1531349,industrial_zone,,TNSTC Bus Depot,way/31723904
11.6963229,78.1016609,industrial_zone,,Burn Standard,way/31879542
